 Day        Month      Year       Tmin(C)    Tmax(C)    Pcrp(mm)   ET0(mm)  
  7          8         2018       18.12      33.74       0.00       7.29    
  8          8         2018       16.26      30.28       0.00       6.83    
  9          8         2018       14.76      29.43       0.76       5.26    
 10          8         2018       16.22      28.84       0.25       4.64    
 11          8         2018       14.32      26.12       2.79       3.18    
 12          8         2018       13.37      28.71       0.00       5.87    
 13          8         2018       13.23      30.88       0.00       6.80    
 14          8         2018       15.68      32.79       0.00       6.12    
 15          8         2018       16.43      34.08      26.42       7.25    
 16          8         2018       16.29      33.26      21.84       7.51    
 17          8         2018       17.00      32.21       6.35       6.26    
 18          8         2018       17.00      27.63      20.57       4.51    
 19          8         2018       15.24      27.63       0.25       5.08    
 20          8         2018       15.10      27.32       0.00       5.35    
 21          8         2018       15.47      31.77       0.00       6.28    
 22          8         2018       16.83      31.09       2.29       6.24    
 23          8         2018       15.58      32.55       0.00       6.93    
 24          8         2018       18.53      33.98       0.00       7.56    
 25          8         2018       18.05      34.45       1.78       6.74    
 26          8         2018       17.95      34.08       0.00       8.10    
 27          8         2018       19.79      34.49       0.51       8.79    
 28          8         2018       17.07      35.95       0.00       8.42    
 29          8         2018       14.32      28.68       0.00       5.86    
 30          8         2018       16.32      34.72       0.00       7.78    
 31          8         2018       17.21      35.30       0.00       8.29    
  1          9         2018       14.59      29.19       9.14       4.29    
  2          9         2018       15.92      30.34       0.00       6.79    
  3          9         2018       15.27      25.75       5.33       3.59    
  4          9         2018       15.17      28.61       0.00       4.88    
  5          9         2018       16.22      26.57       0.00       3.12    
  6          9         2018       15.03      23.88       0.00       3.17    
  7          9         2018       14.25      22.84       0.00       2.72    
  8          9         2018       12.45      25.95       0.00       4.21    
  9          9         2018       15.81      28.50       1.02       5.11    
 10          9         2018       15.03      28.68       0.25       5.20    
 11          9         2018       12.52      29.90       0.00       5.82    
 12          9         2018       13.54      31.19       0.00       6.72    
 13          9         2018       13.98      32.65       0.00       7.16    
 14          9         2018       15.00      31.02       0.00       6.58    
 15          9         2018       14.46      29.97       0.00       5.08    
 16          9         2018       14.97      29.05       0.00       5.36    
 17          9         2018       12.96      30.89       0.00       5.73    
 18          9         2018       15.24      30.99       0.00       5.72    
 19          9         2018       16.59      31.97       0.00       6.10    
 20          9         2018       14.56      27.82      19.30       4.19    
 21          9         2018       11.16      21.42       0.25       1.86    
 22          9         2018        8.56      25.95       0.00       4.57    
 23          9         2018        7.88      29.49       0.00       5.85    
 24          9         2018        8.66      31.05       0.00       6.89    
 25          9         2018       11.57      25.92       1.27       5.71    
 26          9         2018        7.61      14.97       2.03       2.13    
 27          9         2018        7.17      25.58       0.00       4.35    
 28          9         2018        7.44      25.75       0.00       5.12    
 29          9         2018        6.79      26.97       0.00       4.41    
 30          9         2018       13.61      31.86       0.00       7.02    
  1         10         2018       13.47      29.49       0.00       4.90    
  2         10         2018       13.10      29.73       0.00       4.66    
  3         10         2018       16.73      32.28       0.00       6.64    
  4         10         2018       10.93      25.72       0.00       4.21    
  5         10         2018       16.56      31.80       0.00       6.76    
  6         10         2018        6.49      17.21       0.76       1.30    
  7         10         2018       12.22      23.99       1.52       3.20    
  8         10         2018       11.13      22.49      12.70       3.25    
  9         10         2018        3.24      13.71       6.86       1.42    
 10         10         2018        1.03      19.34       0.00       3.23    
 11         10         2018        7.26      10.93       0.00       0.80    
 12         10         2018       10.79      21.71       0.51       2.96    
 13         10         2018       10.01      22.97       2.54       3.55    
 14         10         2018       -2.02      13.74       0.00       1.34    
 15         10         2018       -2.98       4.90       0.00       1.60    
 16         10         2018        2.35      12.76       0.00       1.47    
 17         10         2018        4.32      12.93       0.00       1.03    
 18         10         2018        5.03       7.40      12.45       0.67    
 19         10         2018        4.75      22.80       0.25       1.73    
 20         10         2018        3.64      20.25       0.00       1.71    
 21         10         2018        4.83      21.20       0.00       1.68    
 22         10         2018        5.77      23.10       0.00       1.56    
 23         10         2018        8.28      23.71       0.00       1.60    
 24         10         2018        4.86      10.99      19.81       0.76    
 25         10         2018        5.03      22.39       0.00       3.54    
 26         10         2018        6.59      23.17       0.00       1.32    
 27         10         2018        5.74      25.61       0.00       3.77    
 28         10         2018        6.62      20.32       0.00       1.66    
 29         10         2018        6.45      26.53       0.00       4.94    
 30         10         2018        6.93      17.27       0.00       1.27    
 31         10         2018        0.15       7.06       0.00       0.72    
  1         11         2018       -0.80      16.05       0.00       1.91    
  2         11         2018        1.41      20.01       0.00       1.73    
  3         11         2018        1.34      18.32       1.27       1.12    
  4         11         2018        0.39      17.92       0.00       2.96    
  5         11         2018        4.08      21.91       0.00       4.77    
  6         11         2018        2.86      23.17       0.00       4.40    
  7         11         2018        3.30      13.98       0.00       0.73    
  8         11         2018        1.41       7.60       0.00       0.55    
  9         11         2018       -2.26      12.45       0.00       0.65    
 10         11         2018       -2.77      14.90       0.00       0.88    
 11         11         2018       -3.35       9.23       0.00       0.71    
 12         11         2018      -10.10       0.35       0.00       0.54    
 13         11         2018      -10.23       4.99       0.00       0.58    
 14         11         2018       -4.39      13.87       0.00       0.67    
 15         11         2018       -1.04      19.37       0.00       0.77    
 16         11         2018       -1.04      20.59       0.00       0.61    
